Date,USA_GDP,CHN_GDP,JPN_GDP,DEU_GDP,IND_GDP,GBR_GDP,BRA_GDP,RUS_GDP,ZAF_GDP,KOR_GDP,BGD_GDP
1960-12-31,541988586206.897,59716249310.9742,47419238274.4619,84310950194.1152,37029883876.1839,73233967692.1028,nan,nan,8748596500.5614,3958811881.18812,4274894083.33333
1961-12-31,561940310344.828,50056685957.359,57266758179.5883,96205728657.7269,39232435784.0358,77741965703.3544,nan,nan,9225996309.60148,2417628736.52655,4817580375.0
1962-12-31,603639413793.103,47209186415.3555,64987857541.6256,105508875286.241,42161481858.0819,81247564156.8246,nan,nan,9813996074.40157,2814615384.61538,5081413541.66667
1963-12-31,637058551724.138,50706614526.1472,74379284603.3875,111822811005.912,48421923459.1235,86561961812.3249,nan,nan,10854195658.3217,3988461538.46154,5319458562.5
1964-12-31,684144620689.655,59708125203.8643,87490590817.9803,122880200227.839,56480289940.9899,94407558351.1616,nan,nan,11955995217.6019,3459019942.79079,5386054833.33333
1965-12-31,741904862068.965,70436008642.4251,97338107605.8236,134282707622.241,59556105229.0052,101824755078.991,nan,nan,13068994772.4021,3120861498.91442,5906636791.66667
1966-12-31,813032758620.69,76720005491.8964,113046784179.289,142781158769.18,45581230504.071,108572752102.045,nan,nan,14211394315.4423,3929055143.5021,6439687854.16667
1967-12-31,859620034482.759,72881364882.4909,132475614226.519,144570993320.91,50134942204.0,113116888210.787,nan,nan,15821393671.4425,4855892445.82682,7253575687.5
1968-12-31,940225000000.0,70846276051.4727,156897496759.128,155955906530.699,53085455870.6667,107759910067.889,nan,nan,17124793150.0827,6119394892.37109,7483685770.83333
1969-12-31,1017438172413.79,79705614854.7674,184298841304.667,177084689264.145,58447995017.3333,116464702803.218,nan,nan,19256992297.2031,7678698837.59346,8471006437.5
1970-12-31,1073303000000.0,92602634891.6589,217223652719.444,215838448137.658,62422483054.6667,130671946244.3,nan,nan,21218391512.6434,9005144969.11666,8992722166.66667
1971-12-31,1164850000000.0,99800593790.9886,245364056622.363,249985055484.303,67351404351.833,148113896325.14,nan,nan,23411076638.279,9903571248.53268,8751843187.5
1972-12-31,1279110000000.0,113689308020.343,324933841268.585,299801542047.476,71464700666.9869,169965034965.035,nan,nan,24515919216.8851,10862211760.8252,6288245866.66667
1973-12-31,1425376000000.0,138543170458.064,441460582535.921,398374021953.897,85517673172.5513,192537971582.558,nan,nan,33262772008.1446,13876472208.2678,8086725729.3407
1974-12-31,1545243000000.0,144188970821.072,490035789970.299,445303484241.554,99526597933.6331,206131369798.971,nan,nan,41389186094.5992,19543973941.3681,12512460519.7088
1975-12-31,1684904000000.0,163429530659.638,532861438884.724,490636517211.225,98473832017.3242,241756637168.142,nan,nan,42906905672.42,21784297520.6612,19448348073.4565
1976-12-31,1873412000000.0,153939265947.775,598883902155.605,519754453161.411,102716451979.68,232614555256.065,nan,nan,41150460287.6151,29902479338.843,10117113333.3333
1977-12-31,2081826000000.0,174935933078.663,737069290927.712,600498238019.035,121486641441.309,263066457352.172,nan,nan,45328411332.1028,38446487603.3058,9651149301.8746
1978-12-31,2351599000000.0,149540752829.268,1035611588216.59,740469983446.933,137302319828.995,335883029721.956,nan,nan,51607412901.8532,51972107438.0165,13281767142.8571
1979-12-31,2627333000000.0,178280594413.043,1077910077676.37,881345176608.686,152995442497.709,438994070309.191,nan,nan,63038658088.9121,66946900826.4463,15565480321.9448
1980-12-31,2857307000000.0,191149211575.0,1129377244854.04,950290856466.538,186328579302.068,564947710899.373,nan,nan,89411864402.4272,65398377597.5108,18138049095.6072
1981-12-31,3207041000000.0,195866382432.54,1245221410764.15,800472055387.278,193491368445.573,540765675241.158,nan,nan,93141472163.7596,72933533011.7706,20249694002.448
1982-12-31,3343789000000.0,205089699858.779,1158731426905.85,776576439106.956,200715624830.902,515048916841.37,nan,nan,85904057409.3585,78358416171.4889,18525399201.5968
1983-12-31,3634038000000.0,230686747153.257,1270859919742.9,770684323247.798,218262146413.158,489618008185.539,nan,nan,96204110941.5672,87760553261.9279,17609048821.5488
1984-12-31,4037613000000.0,259946510957.143,1345824500836.76,725111123634.115,212157645177.652,461487097632.349,nan,nan,84870163365.9306,97510744119.1162,18920840000.0
1985-12-31,4338979000000.0,309488028132.653,1427019759717.41,732534887058.198,232511554840.372,489285164271.047,nan,nan,64459376086.6883,101296177099.377,22278423076.9231
1986-12-31,4579631000000.0,300758100107.246,2120083812109.91,1046259374943.71,248985994040.59,601452653180.885,nan,nan,73354771399.2627,116836246284.832,21774033333.3333
1987-12-31,4855215000000.0,272972974764.574,2580748422781.09,1298176105549.51,279033584092.223,745162608269.325,nan,nan,96535763418.3729,147948709376.434,24298032258.0645
1988-12-31,5236438000000.0,312353631207.819,3125724434400.79,1401233225303.49,296589670895.932,910122732123.799,nan,554828660436.137,103976831870.957,199591287824.777,26579005558.3652
1989-12-31,5641580000000.0,347768051311.741,3109455047823.93,1398967436804.33,296042052944.66,926884816753.927,425595310393.455,506631299734.748,108055624081.806,246928837311.406,28781715188.8919
1990-12-31,5963144000000.0,360857912565.966,3185904656663.85,1771671206875.68,320979026420.035,1093169389204.55,384959818181.817,517014446227.929,126048140141.869,283365844161.092,31598340778.2164
1991-12-31,6158129000000.0,383373318083.624,3648065760648.88,1868945197407.19,270105341879.226,1142797178130.51,342534090909.091,517962962962.963,135203698237.977,330647042837.334,30957483949.5798
1992-12-31,6520327000000.0,426915712715.856,3980702922117.66,2131571696931.75,288208070278.013,1179659529659.53,328191909882.232,460290556900.726,146956150986.636,355524903068.056,31708874594.1645
1993-12-31,6858559000000.0,444731282435.515,4536940479038.25,2071323790370.28,279295648982.529,1061388722255.55,368292034380.96,435083713850.837,147194747565.75,392665710525.411,33166519417.9894
1994-12-31,7287236000000.0,564321854521.013,4998797547740.97,2205074123177.05,327274843459.429,1140489745944.29,525369467295.737,395077301248.464,153512712381.836,463619823515.164,33768660882.793
1995-12-31,7639749000000.0,734484834573.582,5545563663889.7,2585792275146.72,360281909643.489,1344240176739.78,769333050986.905,395537185734.854,171735933897.331,566581003128.204,37939748768.6567
1996-12-31,8073122000000.0,863749314718.538,4923391533851.63,2497244606186.64,392896866204.516,1419645865834.63,850426432991.742,391724890744.498,163234925380.563,610167053824.007,46438484107.5795
