Date,USA_GINI,CHN_GINI,JPN_GINI,DEU_GINI,IND_GINI,GBR_GINI,BRA_GINI,RUS_GINI,ZAF_GINI,KOR_GINI,BGD_GINI,SGP_GINI,HKG_GINI,IDN_GINI,VNM_GINI
1960-12-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1961-12-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1962-12-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1963-12-31,37.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1964-12-31,38.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1965-12-31,37.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1966-12-31,37.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1967-12-31,36.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1968-12-31,36.3,nan,nan,nan,nan,26.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
1969-12-31,36.0,nan,nan,nan,nan,27.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
1970-12-31,36.6,nan,nan,nan,nan,28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1971-12-31,36.9,nan,nan,nan,nan,29.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
1972-12-31,36.7,nan,nan,nan,nan,28.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
1973-12-31,36.1,nan,nan,nan,nan,28.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
1974-12-31,35.5,nan,nan,nan,nan,29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1975-12-31,35.6,nan,nan,nan,nan,27.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
1976-12-31,35.6,nan,nan,nan,nan,27.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
1977-12-31,35.5,nan,nan,nan,33.2,27.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
1978-12-31,34.8,nan,nan,nan,nan,27.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
1979-12-31,34.8,nan,nan,nan,nan,27.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
1980-12-31,34.7,nan,nan,nan,nan,28.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
1981-12-31,35.5,nan,nan,nan,nan,29.7,57.9,nan,nan,nan,nan,nan,nan,nan,nan
1982-12-31,36.7,nan,nan,nan,nan,29.9,58.4,nan,nan,nan,nan,nan,nan,nan,nan
1983-12-31,37.3,nan,nan,nan,32.0,29.8,58.9,nan,nan,nan,25.9,nan,nan,nan,nan
1984-12-31,37.3,nan,nan,nan,nan,29.2,58.3,nan,nan,nan,nan,nan,nan,32.3,nan
1985-12-31,37.6,nan,nan,nan,nan,30.4,55.5,nan,nan,nan,26.9,nan,nan,nan,nan
1986-12-31,37.6,nan,nan,nan,nan,31.9,58.4,nan,nan,nan,nan,nan,nan,nan,nan
1987-12-31,37.2,nan,nan,nan,32.5,33.9,59.6,nan,nan,nan,nan,nan,nan,30.4,nan
1988-12-31,37.7,nan,nan,nan,nan,34.3,61.4,nan,nan,nan,28.8,nan,nan,nan,nan
1989-12-31,38.2,nan,nan,nan,nan,33.4,63.2,nan,nan,nan,nan,nan,nan,nan,nan
1990-12-31,38.3,32.2,nan,nan,nan,35.7,60.4,nan,nan,nan,nan,nan,nan,31.1,nan
1991-12-31,38.0,nan,nan,29.5,nan,35.0,nan,nan,nan,nan,27.6,nan,nan,nan,nan
