Date,IND_POP,IND_POP2
"""2023-12-31""",1428627663,1428627663
"""2022-12-31""",1417173173,1417173173
"""2021-12-31""",1407563842,1407563842
"""2020-12-31""",1396387127,1396387127
"""2019-12-31""",1383112050,1383112050
"""2018-12-31""",1369003306,1369003306
"""2017-12-31""",1354195680,1354195680
"""2016-12-31""",1338636340,1338636340
"""2015-12-31""",1322866505,1322866505
"""2014-12-31""",1307246509,1307246509
"""2013-12-31""",1291132063,1291132063
"""2012-12-31""",1274487215,1274487215
"""2011-12-31""",1257621191,1257621191
"""2010-12-31""",1240613620,1240613620
"""2009-12-31""",1223640160,1223640160
"""2008-12-31""",1206734806,1206734806
"""2007-12-31""",1189691809,1189691809
"""2006-12-31""",1172373788,1172373788
"""2005-12-31""",1154638713,1154638713
"""2004-12-31""",1136264583,1136264583
"""2003-12-31""",1117415123,1117415123
"""2002-12-31""",1098313039,1098313039
"""2001-12-31""",1078970907,1078970907
"""2000-12-31""",1059633675,1059633675
"""1999-12-31""",1040500054,1040500054
"""1998-12-31""",1021434576,1021434576
"""1997-12-31""",1002335230,1002335230
"""1996-12-31""",983281218,983281218
"""1995-12-31""",964279129,964279129
"""1994-12-31""",945261958,945261958
"""1993-12-31""",926351297,926351297
"""1992-12-31""",907574049,907574049
"""1991-12-31""",888941756,888941756
"""1990-12-31""",870452165,870452165
"""1989-12-31""",852012673,852012673
"""1988-12-31""",833729681,833729681
"""1987-12-31""",815716125,815716125
"""1986-12-31""",797878993,797878993
"""1985-12-31""",780242084,780242084
"""1984-12-31""",762895156,762895156
"""1983-12-31""",745826546,745826546
"""1982-12-31""",729169466,729169466
"""1981-12-31""",712869298,712869298
"""1980-12-31""",696828385,696828385
"""1979-12-31""",681248383,681248383
"""1978-12-31""",666267760,666267760
"""1977-12-31""",651685628,651685628
"""1976-12-31""",637451448,637451448
"""1975-12-31""",623524219,623524219
"""1974-12-31""",609721951,609721951
"""1973-12-31""",596107483,596107483
"""1972-12-31""",582837973,582837973
"""1971-12-31""",569999178,569999178
"""1970-12-31""",557501301,557501301
"""1969-12-31""",545314670,545314670
"""1968-12-31""",533431909,533431909
"""1967-12-31""",521987069,521987069
"""1966-12-31""",510992617,510992617
"""1965-12-31""",500114346,500114346
"""1964-12-31""",489059309,489059309
"""1963-12-31""",477933619,477933619
"""1962-12-31""",467024193,467024193
"""1961-12-31""",456351876,456351876
"""1960-12-31""",445954579,445954579
